,PredictorName,Violin Plot,Histogram,RegressionPlot,p-value,t-score,Importance,MWR_Unweighted,MWR_Weighted,MWR_plot_link
22,60_days_away_SF,continous_HomeTeamWins_categorical_60_days_away_SF_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_SF_dist_plot.html,60_days_away_SF_HomeTeamWins_logistic_regression_plot.html,8.605521e-02,1.716584,0.032272936833032166,0.0005257737827957555,0.0003338757170670887,60_days_away_SF_difference_mean_plot.html
15,60_days_home_PA,continous_HomeTeamWins_categorical_60_days_home_PA_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_PA_dist_plot.html,60_days_home_PA_HomeTeamWins_logistic_regression_plot.html,2.288049e-02,-2.275424,0.032117873880367694,0.0005651993549040715,0.0003900962536503326,60_days_home_PA_difference_mean_plot.html
16,60_days_away_PA,continous_HomeTeamWins_categorical_60_days_away_PA_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_PA_dist_plot.html,60_days_away_PA_HomeTeamWins_logistic_regression_plot.html,7.780272e-02,1.76358,0.03189706372343607,0.0004922470314984961,0.000304847897063451,60_days_away_PA_difference_mean_plot.html
17,60_days_home_triple,continous_HomeTeamWins_categorical_60_days_home_triple_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_triple_dist_plot.html,60_days_home_triple_HomeTeamWins_logistic_regression_plot.html,6.065794e-02,-1.875981,0.031078921470485348,0.0011540315600911332,0.00023186960767628635,60_days_home_triple_difference_mean_plot.html
30,60_days_away_TB,continous_HomeTeamWins_categorical_60_days_away_TB_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_TB_dist_plot.html,60_days_away_TB_HomeTeamWins_logistic_regression_plot.html,9.303018e-03,2.600713,0.029995589994545952,0.0005337218145157533,0.00033155817106763084,60_days_away_TB_difference_mean_plot.html
29,60_days_home_TB,continous_HomeTeamWins_categorical_60_days_home_TB_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_TB_dist_plot.html,60_days_home_TB_HomeTeamWins_logistic_regression_plot.html,1.209114e-01,-1.55096,0.02891712125862665,0.0005094059582581815,0.0003487693407378944,60_days_home_TB_difference_mean_plot.html
23,60_days_home_OBP,continous_HomeTeamWins_categorical_60_days_home_OBP_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_OBP_dist_plot.html,60_days_home_OBP_HomeTeamWins_logistic_regression_plot.html,3.210105e-02,-2.14315,0.02862262096071865,0.0003073962343447047,0.00030683409884184245,60_days_home_OBP_difference_mean_plot.html
24,60_days_away_OBP,continous_HomeTeamWins_categorical_60_days_away_OBP_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_OBP_dist_plot.html,60_days_away_OBP_HomeTeamWins_logistic_regression_plot.html,6.282387e-04,3.419121,0.028105231114485076,0.00028523769343654764,0.00028532975754618417,60_days_away_OBP_difference_mean_plot.html
14,60_days_away_toBase,continous_HomeTeamWins_categorical_60_days_away_toBase_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_toBase_dist_plot.html,60_days_away_toBase_HomeTeamWins_logistic_regression_plot.html,3.272231e-03,2.940935,0.027906223304466432,0.00047355921201771585,0.0003158947628587144,60_days_away_toBase_difference_mean_plot.html
13,60_days_home_toBase,continous_HomeTeamWins_categorical_60_days_home_toBase_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_toBase_dist_plot.html,60_days_home_toBase_HomeTeamWins_logistic_regression_plot.html,2.000453e-03,-3.090165,0.027167517150333338,0.0006274774565944481,0.000432933153454194,60_days_home_toBase_difference_mean_plot.html
4,60_days_away_BA,continous_HomeTeamWins_categorical_60_days_away_BA_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_BA_dist_plot.html,60_days_away_BA_HomeTeamWins_logistic_regression_plot.html,2.844112e-04,3.6291,0.02614203176433647,0.0003568675429671083,0.0003528938421100165,60_days_away_BA_difference_mean_plot.html
3,60_days_home_BA,continous_HomeTeamWins_categorical_60_days_home_BA_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_BA_dist_plot.html,60_days_home_BA_HomeTeamWins_logistic_regression_plot.html,2.389094e-02,-2.258879,0.026124466085753178,0.0003812827443111349,0.0003796415404270879,60_days_home_BA_difference_mean_plot.html
2,60_days_away_hit,continous_HomeTeamWins_categorical_60_days_away_hit_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_hit_dist_plot.html,60_days_away_hit_HomeTeamWins_logistic_regression_plot.html,2.545162e-03,3.01792,0.024190441261025757,0.0007766391963406544,0.000332698225806097,60_days_away_hit_difference_mean_plot.html
0,60_days_home_hit,continous_HomeTeamWins_categorical_60_days_home_hit_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_hit_dist_plot.html,60_days_home_hit_HomeTeamWins_logistic_regression_plot.html,4.380598e-02,-2.015943,0.024053409637583484,0.0005393545397006977,0.00035597400787612,60_days_home_hit_difference_mean_plot.html
